"species_code","subcategory"
"20802","None"
"20842","None"
"20871","None"
"20900","None"
"20901","None"
"20902","None"
"20905","None"
"20908","None"
"20910","None"
"20915","None"
"20920","None"
"20921","None"
"20930","None"
"20952","None"
"20960","None"
"20971","None"
"20980","None"
"20990","None"
"20995","None"
"21000","None"
"21010","None"
"21110","None"
"21120","None"
"21130","None"
"21150","None"
"21200","None"
"21201","None"
"21202","None"
"21204","None"
"21210","None"
"21220","None"
"21230","None"
"21232","None"
"21238","None"
"21239","None"
"21240","None"
"21300","None"
"21305","None"
"21307","None"
"21308","None"
"21309","None"
"21310","None"
"21311","None"
"21312","None"
"21313","None"
"21314","None"
"21315","None"
"21316","None"
"21318","None"
"21320","None"
"21327","None"
"21329","None"
"21330","None"
"21331","None"
"21332","None"
"21333","None"
"21334","None"
"21335","None"
"21336","None"
"21337","None"
"21338","None"
"21339","None"
"21340","None"
"21341","None"
"21342","None"
"21343","None"
"21344","None"
"21345","None"
"21346","None"
"21347","None"
"21348","None"
"21349","None"
"21350","None"
"21352","None"
"21353","None"
"21354","None"
"21355","None"
"21356","None"
"21359","None"
"21360","None"
"21363","None"
"21366","None"
"21368","None"
"21369","None"
"21370","None"
"21371","None"
"21373","None"
"21375","None"
"21376","None"
"21377","None"
"21378","None"
"21379","None"
"21380","None"
"21383","None"
"21384","None"
"21386","None"
"21387","None"
"21388","None"
"21389","None"
"21390","None"
"21393","None"
"21394","None"
"21395","None"
"21397","None"
"21398","None"
"21405","None"
"21406","None"
"21407","None"
"21415","None"
"21420","None"
"21421","None"
"21422","None"
"21423","None"
"21429","None"
"21437","None"
"21438","None"
"21439","None"
"21440","None"
"21441","None"
"21443","None"
"21444","None"
"21445","None"
"21446","None"
"21447","None"
"21484","None"
"21500","None"
"21501","None"
"21506","None"
"21510","None"
"21515","None"
"21521","None"
"21522","None"
"21592","None"
"21594","None"
"21595","None"
"21596","None"
"21597","None"
"21598","None"
"21705","None"
"21710","None"
"21720","None"
"21725","None"
"21726","None"
"21727","None"
"21731","None"
"21732","None"
"21733","None"
"21735","None"
"21740","None"
"21744","None"
"21752","None"
"21753","None"
"21760","None"
"21770","None"
"21800","None"
"21805","None"
"21810","None"
"21811","None"
"21812","None"
"21813","None"
"21815","None"
"21818","None"
"21820","None"
"21822","None"
"21823","None"
"21824","None"
"21825","None"
"21827","None"
"21845","None"
"21846","None"
"21847","None"
"21900","None"
"21910","None"
"21915","None"
"21921","None"
"21930","None"
"21931","None"
"21932","None"
"21934","None"
"21935","None"
"21936","None"
"21937","None"
"22010","None"
"22110","None"
"22121","None"
"22169","None"
"22170","None"
"22173","None"
"22175","None"
"22176","None"
"22177","None"
"22178","None"
"22179","None"
"22180","None"
"22182","None"
"22183","None"
"22184","None"
"22190","None"
"22200","None"
"22201","None"
"22202","None"
"22203","None"
"22204","None"
"22205","None"
"22206","None"
"22207","None"
"22208","None"
"22209","None"
"22210","None"
"22211","None"
"22213","None"
"22214","None"
"22215","None"
"22216","None"
"22217","None"
"22219","None"
"22220","None"
"22221","None"
"22222","None"
"22223","None"
"22224","None"
"22225","None"
"22226","None"
"22228","None"
"22229","None"
"22230","None"
"22231","None"
"22232","None"
"22233","None"
"22235","None"
"22236","None"
"22237","None"
"22238","None"
"22239","None"
"22240","None"
"22241","None"
"22242","None"
"22243","None"
"22244","None"
"22245","None"
"22246","None"
"22247","None"
"22248","None"
"22249","None"
"22250","None"
"22251","None"
"22252","None"
"22253","None"
"22254","None"
"22255","None"
"22260","None"
"22261","None"
"22262","None"
"22263","None"
"22264","None"
"22271","None"
"22300","None"
"22310","None"
"22320","None"
"22390","None"
"22400","None"
"22410","None"
"22420","None"
"22450","None"
"22461","None"
"22500","None"
"22570","None"
"22582","None"
"22595","None"
"22600","None"
"22601","None"
"22602","None"
"22603","None"
"22609","None"
"22610","None"
"22620","None"
"22623","None"
"22624","None"
"22625","None"
"22630","None"
"22640","None"
"22642","None"
"22647","None"
"22648","None"
"22649","None"
"22650","None"
"22651","None"
"22656","None"
"22701","None"
"22702","None"
"22703","None"
"22704","None"
"22705","None"
"22716","None"
"22721","None"
"22750","None"
"22800","None"
"22810","None"
"22815","None"
"22900","None"
"22912","None"
"22913","None"
"22914","None"
"22915","None"
"22917","None"
"22918","None"
"22919","None"
"22920","None"
"22921","None"
"22924","None"
"22951","None"
"22952","None"
"22955","None"
"22956","None"
"23000","None"
"23010","None"
"23011","None"
"23020","None"
"23030","None"
"23041","None"
"23055","None"
"23060","None"
"23061","None"
"23071","None"
"23201","None"
"23202","None"
"23220","None"
"23225","None"
"23230","None"
"23235","None"
"23240","None"
"23250","None"
"23252","None"
"23260","None"
"23310","None"
"23402","None"
"23500","None"
"23524","None"
"23562","None"
"23590","None"
"23602","None"
"23603","None"
"23620","None"
"23621","None"
"23657","None"
"23700","None"
"23710","None"
"23720","None"
"23791","None"
"23792","None"
"23800","None"
"23801","None"
"23802","None"
"23803","None"
"23804","None"
"23805","None"
"23806","None"
"23807","None"
"23808","None"
"23809","None"
"23836","None"
